id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r],,
71,L-13.460,13460,26/06/2017,f(x),o,7,2922,"0,240%",,"('incluído', 'l', 14129)",,"('redação dada', 'l', 14534);('incluído', 'l', 14015)","LEI Nº 13.460, DE 26 DE JUNHO DE 2017.","Dispõe sobre participação, proteção e defesa dos direitos do usuário dos serviços públicos da administração pública.","Esta Lei estabelece normas básicas para participação, proteção e defesa dos direitos do usuário dos serviços públicos prestados direta ou indiretamente pela administração pública.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13460.htm,,,,,,,,,,,,
72,L-14.017,14017,29/06/2020,f(x),o,10,4281,"0,234%",,"('redação dada', 'l', 14150);('redação\ndada', 'l', 14150);('incluído', 'l', 14150)",,"('incluído', 'l', 14036);('redação dada', 'l', 14529)","LEI Nº 14.017, DE 29 DE JUNHO DE 2020","Dispõe sobre ações emergenciais destinadas ao setor cultural a serem adotadas durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020.","Esta Lei dispõe sobre ações emergenciais destinadas ao setor cultural a serem adotadas em decorrência dos efeitos econômicos e sociais da pandemia da Covid-19. (Redação dada pela Lei nº 14.150, de 2021)",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14017.htm,,,,,,,,,,,,
73,L-12.343,12343,02/12/2010,,o,104,14953,"0,696%",,,,"('redação dada', 'l', 14468);('redação\ndada', 'l', 14156);('incluído', 'l', 14156);('redação dada', 'l', 14156)","LEI Nº 12.343, DE 2 DE DEZEMBRO DE 2010.","Institui o Plano Nacional de Cultura - PNC, cria o Sistema Nacional de Informações e Indicadores Culturais - SNIIC e dá outras providências.","Fica aprovado o Plano Nacional de Cultura, em conformidade com o § 3º do art. 215 da Constituição Federal, constante do Anexo, com duração de 10 (dez) anos e regido pelos seguintes princípios:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12343.htm,,,,,,,,,,,,
74,L-12.919,12919,24/12/2013,,o,51,29387,"0,174%",,,"(None, 'l', 2);(None, 'l', 2014)","('redação dada', 'l', 13053);('incluído', 'l', 13067)","LEI Nº 12.919, DE 24 DE DEZEMBRO DE 2013.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2014 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no § 2º do art. 165 da Constituição Federal, e na Lei Complementar nº 101, de 4 de maio de 2000, Lei de Responsabilidade Fiscal, as diretrizes orçamentárias da União para 2014, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12919.htm,,,,,,,,,,,,
75,L-11.706,11706,19/06/2008,f(),o,5,1744,"0,287%","('altera', 'l', 10826)",,,,"LEI Nº 11.706, DE 19 DE JUNHO DE 2008.","Altera e acresce dispositivos à Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição e sobre o Sistema Nacional de Armas - Sinarm e define crimes.","Os arts. 4º , 5º , 6º , 11, 23, 25, 28, 30 e 32 da Lei nº 10.826, de 22 de dezembro de 2003, passam a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11706.htm,,,,,,,,,,,,
76,L-13.812,13812,16/03/2019,f(),o,5,1781,"0,281%","('altera', 'l', 8069)",,,,"LEI Nº 13.812, DE 16 DE MARÇO DE 2019","Institui a Política Nacional de Busca de Pessoas Desaparecidas, cria o Cadastro Nacional de Pessoas Desaparecidas e altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente",Esta Lei institui a Política Nacional de Busca de Pessoas Desaparecidas e cria o Cadastro Nacional de Pessoas Desaparecidas.,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13812.htm,,,,,,,,,,,,
77,LCP-195,195,08/07/2022,,o,19,5948,"0,319%",,,"('altera', 'l', 101);('altera', 'l', 8313)","('criado', 'l', 8313)","LEI COMPLEMENTAR Nº 195, DE 8 DE JULHO DE 2022","Dispõe sobre apoio financeiro da União aos Estados, ao Distrito Federal e aos Municípios para garantir ações emergenciais direcionadas ao setor cultural; altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para não contabilizar na meta de resultado primário as transferências federais aos demais entes da Federação para enfrentamento das consequências sociais e econômicas no setor cultural decorrentes de calamidades públicas ou pandemias; e altera a Lei nº 8.313, de 23 de dezembro de 1991, para atribuir outras fontes de recursos ao Fundo Nacional da Cultura (FNC",Esta Lei Complementar dispõe sobre ações emergenciais destinadas ao setor cultural a serem adotadas em decorrência dos efeitos econômicos e sociais da pandemia da covid-19.,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp195.htm,,,,,,,,,,,,
78,L-13.576,13576,26/12/2017,,o,6,3349,"0,179%",,,,"('incluído', 'l', 14592);('incluído', 'l', 13986)","LEI Nº 13.576, DE 26 DE DEZEMBRO DE 2017.",Dispõe sobre a Política Nacional de Biocombustíveis (RenovaBio) e dá outras providências.,"Fica instituída a Política Nacional de Biocombustíveis (RenovaBio), parte integrante da política energética nacional de que trata o art. 1º da Lei nº 9.478, de 6 de agosto de 1997 , com os seguintes objetivos:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13576.htm,,,,,,,,,,,,
79,L-11.577,11577,22/11/2007,,o,2,461,"0,434%",,,,,"LEI Nº 11.577, DE 22 DE NOVEMBRO DE 2007.",Torna obrigatória a divulgação pelos meios que especifica de mensagem relativa à exploração sexual e tráfico de crianças e adolescentes apontando formas para efetuar denúncias.,Esta Lei dispõe sobre a obrigatoriedade de divulgação de mensagem relativa à exploração sexual e tráfico de crianças e adolescentes indicando como proceder à denúncia.,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11577.htm,,,,,,,,,,,,
80,L-11.450,11450,07/02/2007,f();f(x),o,1,489,"0,204%","('altera', 'l', 10933)","('promovidas', 'l', 11318);('redação dada', 'l', 11318)",,,"LEI Nº 11.450, DE 7 DE FEVEREIRO DE 2007.","Altera a Lei nº 10.933, de 11 de agosto de 2004, que dispõe sobre o Plano Plurianual para o período 2004/2007.","Os arts. 3º , 5º , 6º , 8º e 9º da Lei nº 10.933, de 11 de agosto de 2004, com redação dada pela Lei nº 11.318, de 5 de julho de 2006 passam a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11450.htm,,,,,,,,,,,,
81,L-11.514,11514,13/08/2007,f(x),o,40,26827,"0,149%",,"('revogado', 'l', 11653)","(None, 'l', 3);(None, 'l', 2008)","('redação dada', 'l', 7990);('criadas', 'l', 10770);('criados', 'l', 10771);('criados', 'l', 10259)","LEI Nº 11.514, DE 13 DE AGOSTO DE 2007.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2008 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, as diretrizes orçamentárias da União para 2008, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11514.htm,,,,,,,,,,,,
82,L-10.446,10446,08/05/2002,f(x),o,4,471,"0,849%",,"('incluído', 'l', 12894);('incluído', 'l', 13642)",,"('incluído', 'l', 13124)","LEI Nº 10.446, DE 8 DE MAIO DE 2002.","Dispõe sobre infrações penais de repercussão interestadual ou internacional que exigem repressão uniforme, para os fins do disposto no inciso I do § 1º do art. 144 da Constituição.","Na forma do inciso I do § 1º do art. 144 da Constituição, quando houver repercussão interestadual ou internacional que exija repressão uniforme, poderá o Departamento de Polícia Federal do Ministério da Justiça, sem prejuízo da responsabilidade dos órgãos de segurança pública arrolados no art. 144 da Constituição Federal, em especial das Polícias Militares e Civis dos Estados, proceder à investigação, dentre outras, das seguintes infrações penais:",https://www.planalto.gov.br/ccivil_03/leis/2002/l10446.htm,,,,,,,,,,,,
83,L-12.309,12309,09/08/2010,,o,43,30328,"0,142%",,,"(None, 'l', 2011);(None, 'l', 101)","('autorizado', 'l', 2011);('redação dada', 'l', 12377);('redação\ndada', 'l', 7990);('redação dada', 'l', 12522);('incluído', 'l', 12522);('criados', 'l', 10771)","LEI Nº 12.309, DE 9 DE AGOSTO DE 2010.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2011 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, as diretrizes orçamentárias da União para 2011, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12309.htm,,,,,,,,,,,,
84,L-12.465,12465,12/08/2011,,o,47,30026,"0,157%",,,"(None, 'l', 2012)","('redação dada', 'l', 7990)","LEI Nº 12.465, DE 12 DE AGOSTO DE 2011.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2012 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, Lei de Responsabilidade Fiscal - LRF, as diretrizes orçamentárias da União para 2012, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12465.htm,,,,,,,,,,,,
85,L-13.818,13818,24/04/2019,f(),o,4,633,"0,632%","('altera', 'l', 6404)",,,,"LEI Nº 13.818, DE 24 DE ABRIL DE 2019","Altera a Lei nº 6.404, de 15 de dezembro de 1976 (Lei das Sociedades Anônimas), para dispor sobre as publicações obrigatórias e ampliar para R$ 10.000.000,00 (dez milhões de reais) o valor máximo admitido de patrimônio líquido para que a sociedade anônima de capital fechado faça jus ao regime simplificado de publicidade de atos societários.","O caput do art. 289 da Lei nº 6.404, de 15 de dezembro de 1976 (Lei das Sociedades Anônimas), passa a vigorar com a seguinte redação: (Vide)",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13818.htm,,,,,,,,,,,,
86,L-10.748,10748,22/10/2003,f();f(x),o,3,3144,"0,095%","(None, 'l', 10940)","('revogado dada', 'l', 10940);('revogado', 'l', 10940);('incluído', 'l', 10940);('aprovada', 'l', 5452);('incluído\ndada', 'l', 10940);('incluído dada', 'l', 10940);('inclúido dada', 'l', 10940);('redação dada', 'l', 10940)","('altera', 'l', 9608)","('revogado', 'l', 11692)","LEI Nº 10.748, DE 22 DE OUTUBRO DE 2003.","Cria o Programa Nacional de Estímulo ao Primeiro Emprego para os Jovens - PNPE, acrescenta dispositivo à Lei nº 9.608, de 18 de fevereiro de 1998, e dá outras providências.","Fica instituído o Programa Nacional de Estímulo ao Primeiro Emprego para os Jovens - PNPE, vinculado a ações dirigidas à promoção da inserção de jovens no mercado de trabalho e sua escolarização, ao fortalecimento da participação da sociedade no processo de formulação de políticas e ações de geração de trabalho e renda, objetivando, especialmente, promover:",https://www.planalto.gov.br/ccivil_03/leis/2003/l10.748.htm,,,,,,,,,r,,,
87,L-12.299,12299,27/07/2010,f(),o,3,2000,"0,150%","('altera', 'l', 10671)",,,,"LEI Nº 12.299, DE 27 DE JULHO DE 2010.","Dispõe sobre medidas de prevenção e repressão aos fenômenos de violência por ocasião de competições esportivas; altera a Lei nº 10.671, de 15 de maio de 2003; e dá outras providências.","É dever de toda pessoa física ou jurídica colaborar na prevenção aos atos ilícitos e de violência praticados por ocasião de competições esportivas, especialmente os atos de violência entre torcedores e torcidas.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12299.htm,,,,,,,,,,,,
88,L-12.192,12192,14/01/2010,,o,5,575,"0,870%",,,,,"LEI Nº 12.192, DE 14 DE JANEIRO DE 2010.",Dispõe sobre o depósito legal de obras musicais na Biblioteca Nacional.,"Esta Lei regulamenta o depósito legal de obras musicais na Biblioteca Nacional, com o intuito de assegurar o registro, a guarda e a divulgação da produção musical brasileira, bem como a preservação da memória fonográfica nacional.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12192.htm,,,,,,,,,,,,
89,L-13.019,13019,31/07/2014,f();f(x),o,43,23887,"0,180%","(None, 'l', 13204)","('redação dada', 'l', 13204);('incluída', 'l', 13204);('incluído', 'l', 14309);('incluído', 'l', 13204);('redação\ndada', 'l', 13204);('revogado', 'l', 13204)",,"('incluído', 'l', 14345);('redação\ndada', 'l', 13102);('redação dada', 'l', 13102);('revogado', 'l', 14027)","LEI Nº 13.019, DE 31 DE JULHO DE 2014.","Estabelece o regime jurídico das parcerias voluntárias, envolvendo ou não transferências de recursos financeiros, entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público; define diretrizes para a política de fomento e de colaboração com organizações da sociedade civil; institui o termo de colaboração e o termo de fomento; e altera as Leis nºs 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999. Estabelece o regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco, mediante a execução de atividades ou de projetos previamente estabelecidos em planos de trabalho inseridos em termos de colaboração, em termos de fomento ou em acordos de cooperação; define diretrizes para a política de fomento, de colaboração e de cooperação com organizações da sociedade civil; e altera as Leis nºs 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999. (Redação dada pela Lei nº 13.204, de 2015","Esta Lei institui normas gerais para as parcerias entre a administração pública e organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público e recíproco, mediante a execução de atividades ou de projetos previamente estabelecidos em planos de trabalho inseridos em termos de colaboração, em termos de fomento ou em acordos de cooperação. (Redação dada pela Lei nº 13.204, de 2015)",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l13019.htm,,,,,,,,,,,,
90,L-14.109,14109,16/12/2020,f(x),o,12,2107,"0,570%",,"('criado', 'l', 9998)",,,"LEI Nº 14.109, DE 16 DE DEZEMBRO DE 2020","Altera as Leis nºs 9.472, de 16 de julho de 1997, e 9.998, de 17 de agosto de 2000, para dispor sobre a finalidade, a destinação dos recursos, a administração e os objetivos do Fundo de Universalização dos Serviços de Telecomunicações (Fust","Esta Lei dispõe sobre a finalidade, a destinação dos recursos, a administração e os objetivos do Fundo de Universalização dos Serviços de Telecomunicações (Fust).",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14109.htm,,,,,,,,,,,,
91,L-13.499,13499,26/10/2017,,o,1,539,"0,186%",,,,"('redação\ndada', 'l', 14034);('incluído', 'l', 14034);('redação dada', 'l', 14034)","LEI Nº 13.499, DE 26 DE OUTUBRO DE 2017.",Estabelece critérios para a celebração de aditivos contratuais relativos às outorgas nos contratos de parceria no setor aeroportuário.,"Fica admitida a celebração de aditivos contratuais que versem sobre a alteração do cronograma de pagamentos das outorgas nos contratos de parceria no setor aeroportuário celebrados até 31 de dezembro de 2016, observado o disposto nesta Lei e no ato de regulamentação do Ministério dos Transportes, Portos e Aviação Civil.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13499.htm,,,,,,,,,,,,
92,L-14.129,14129,29/03/2021,f();f(x),,94,7019,"1,339%","('altera', 'l', 13460)","('estabelecido', 'l', 13709)","('altera', 'l', 7116);('altera', 'l', 12682)",,"LEI Nº 14.129, DE 29 DE MARÇO DE 2021","Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública e altera a Lei nº 7.116, de 29 de agosto de 1983, a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), a Lei nº 12.682, de 9 de julho de 2012, e a Lei nº 13.460, de 26 de junho de 2017.","Esta Lei dispõe sobre princípios, regras e instrumentos para o aumento da eficiência da administração pública, especialmente por meio da desburocratização, da inovação, da transformação digital e da participação do cidadão.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14129.htm,ontológica,benefício,burocrática;transparência,,administrativo,burocrático,impõe,ambiente;ferramenta,,,,
93,L-13.204,13204,14/12/2015,f(),o,17,8530,"0,199%","('altera', 'l', 12101);('altera', 'l', 8666);('altera', 'l', 13019)",,"('revoga', 'l', 91);('altera', 'l', 9790);('altera', 'l', 8429);('altera', 'l', 9249);('altera', 'l', 9532)",,"LEI Nº 13.204, DE 14 DE DEZEMBRO DE 2015.","Altera a Lei nº 13.019, de 31 de julho de 2014, “que estabelece o regime jurídico das parcerias voluntárias, envolvendo ou não transferências de recursos financeiros, entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público; define diretrizes para a política de fomento e de colaboração com organizações da sociedade civil; institui o termo de colaboração e o termo de fomento; e altera as Leis nº 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999”; altera as Leis nº 8.429, de 2 de junho de 1992, 9.790, de 23 de março de 1999, 9.249, de 26 de dezembro de 1995, 9.532, de 10 de dezembro de 1997, 12.101, de 27 de novembro de 2009, e 8.666, de 21 de junho de 1993; e revoga a Lei nº 91, de 28 de agosto de 1935.","A ementa da Lei nº 13.019, de 31 de julho de 2014 , passa a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13204.htm,,,,,,,,,,,,
94,L-12.017,12017,12/08/2009,,o,41,28579,"0,143%",,,"(None, 'l', 2010);(None, 'l', 101)","('redação dada', 'l', 7990);('criadas', 'l', 10770);('redação dada', 'l', 12377);('autorizado', 'l', 2010);('redação\ndada', 'l', 12182);('criados', 'l', 10771);('criados', 'l', 10259)","LEI Nº 12.017, DE 12 DE AGOSTO DE 2009.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2010 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, as diretrizes orçamentárias da União para 2010, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12017.htm,,,,,,,,,,,,
95,L-12.349,12349,15/12/2010,f();f(x),o,24,2508,"0,957%","('altera', 'l', 8958);('altera', 'l', 8666)","('regidas', 'l', 10406)","('altera', 'l', 10973);(None, 'l', 11273)",,"LEI Nº 12.349, DE 15 DE DEZEMBRO DE 2010.","Altera as Leis nºˢ 8.666, de 21 de junho de 1993, 8.958, de 20 de dezembro de 1994, e 10.973, de 2 de dezembro de 2004; e revoga o § 1º do art. 2º da Lei nº 11.273, de 6 de fevereiro de 2006.","A Lei nº 8.666, de 21 de junho de 1993, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12349.htm,,,,,,,,,,,,
96,L-11.768,11768,14/08/2008,,o,38,26775,"0,142%",,,"(None, 'l', 101);(None, 'l', 2009)","('redação dada', 'l', 7990);('criadas', 'l', 10770);('redação dada', 'l', 12053);('incluído', 'l', 12053);('único', 'l', 12053);('autorizado', 'l', 2009);('criados', 'l', 10771);('criados', 'l', 10259)","LEI Nº 11.768, DE 14 DE AGOSTO DE 2008.",Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2009 e dá outras providências.,"São estabelecidas, em cumprimento ao disposto no art. 165, § 2º , da Constituição, e na Lei Complementar nº 101, de 4 de maio de 2000, as diretrizes orçamentárias da União para 2009, compreendendo:",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11768.htm,,,,,,,,,,,,
97,L-11.598,11598,03/12/2007,f(x),,22,5429,"0,405%",,"('incluído', 'l', 14195);('revogado', 'l', 14195);('incluído', 'l', 147);('redação dada', 'l', 14195)","('altera', 'l', 8934);('revoga', 'dl', 1715)","('incluído', 'l', 13874)","LEI Nº 11.598, DE 3 DE DEZEMBRO DE 2007.","Estabelece diretrizes e procedimentos para a simplificação e integração do processo de registro e legalização de empresários e de pessoas jurídicas, cria a Rede Nacional para a Simplificação do Registro e da Legalização de Empresas e Negócios - REDESIM; altera a Lei nº 8.934, de 18 de novembro de 1994; revoga dispositivos do Decreto-Lei nº 1.715, de 22 de novembro de 1979, e das Leis nºˢ 7.711, de 22 de dezembro de 1988, 8.036, de 11 de maio de 1990, 8.212, de 24 de julho de 1991, e 8.906, de 4 de julho de 1994; e dá outras providências.","Esta Lei estabelece normas gerais de simplificação e integração do processo de registro e legalização de empresários e pessoas jurídicas no âmbito da União, dos Estados, do Distrito Federal e dos Municípios.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11598.htm,normativa;ontológica,benefício,comercial,,tributário,econômico,reconhece,ferramenta,,,,
98,L-14.510,14510,27/12/2022,f(),o,4,872,"0,459%","('altera', 'l', 8080);('altera', 'l', 13146)",,"('revoga', 'l', 13989)",,"LEI Nº 14.510, DE 27 DE DEZEMBRO DE 2022","Altera a Lei nº 8.080, de 19 de setembro de 1990, para autorizar e disciplinar a prática da telessaúde em todo o território nacional, e a Lei nº 13.146, de 6 de julho de 2015; e revoga a Lei nº 13.989, de 15 de abril de 2020.","Esta Lei altera a Lei nº 8.080, de 19 de setembro de 1990, para autorizar e disciplinar a prática da telessaúde em todo o território nacional, e a Lei nº 13.146, de 6 de julho de 2015, e revoga a Lei nº 13.989, de 15 de abril de 2020.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14510.htm,,,,,,,,,,,,
99,L-12.527,12527,18/11/2011,f(x),o,13,6217,"0,209%",,"('redação dada', 'l', 14129);('incluído', 'l', 14129)","('revoga', 'l', 11111);('altera', 'l', 8112)","('incluído', 'l', 14345)","LEI Nº 12.527, DE 18 DE NOVEMBRO DE 2011.","Regula o acesso a informações previsto no inciso XXXIII do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição Federal; altera a Lei nº 8.112, de 11 de dezembro de 1990; revoga a Lei nº 11.111, de 5 de maio de 2005, e dispositivos da Lei nº 8.159, de 8 de janeiro de 1991; e dá outras providências.","Esta Lei dispõe sobre os procedimentos a serem observados pela União, Estados, Distrito Federal e Municípios, com o fim de garantir o acesso a informações previsto no inciso XXXIII do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição Federal.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm,,,,,,,,,,,,
100,L-13.116,13116,20/04/2015,,o,24,2997,"0,801%",,,"('altera', 'l', 9472)","('incluído', 'l', 14424)","LEI Nº 13.116, DE 20 DE ABRIL DE 2015.","Estabelece normas gerais para implantação e compartilhamento da infraestrutura de telecomunicações e altera as Leis nº 9.472, de 16 de julho de 1997, 11.934, de 5 de maio de 2009, e 10.257, de 10 de julho de 2001.","Esta Lei estabelece normas gerais aplicáveis ao processo de licenciamento, instalação e compartilhamento de infraestrutura de telecomunicações, com o propósito de torná-lo compatível com o desenvolvimento socioeconômico do País.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13116.htm,,,,,,,,,,,,
101,L-13.819,13819,26/04/2019,,o,2,1013,"0,197%",,,"('altera', 'l', 9656)","('incluído', 'l', 14531)","LEI Nº 13.819, DE 26 DE ABRIL DE 2019","Institui a Política Nacional de Prevenção da Automutilação e do Suicídio, a ser implementada pela União, em cooperação com os Estados, o Distrito Federal e os Municípios; e altera a Lei nº 9.656, de 3 de junho de 1998.","Esta Lei institui a Política Nacional de Prevenção da Automutilação e do Suicídio, a ser implementada pela União, pelos Estados, pelos Municípios e pelo Distrito Federal.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13819.htm,,,,,,,,,,,,
102,L-9.973,9973,29/05/2000,,o,2,1083,"0,185%",,,,"('revogado', 'l', 11076);('incluído', 'l', 11076);('redação dada', 'l', 11076)","LEI Nº 9.973, DE 29 DE MAIO DE 2000.",Dispõe sobre o sistema de armazenagem dos produtos agropecuários.,"As atividades de armazenagem de produtos agropecuários, seus derivados, subprodutos e resíduos de valor econômico ficam sujeitas às disposições desta Lei.",https://www.planalto.gov.br/ccivil_03/leis/l9973.htm,,,,,,,,,,,,
103,L-10.671,10671,15/05/2003,f(x),o,9,7226,"0,125%",,"('redação dada', 'l', 13155);('revogada', 'l', 14597);('incluído', 'l', 13155);('redação dada', 'l', 12299);('revogado', 'l', 12299);('incluído', 'l', 12663);('incluído', 'l', 12299)",,"('incluído', 'l', 13912);('incluído', 'l', 14117);('redação dada', 'l', 13912)","LEI Nº 10.671, DE 15 DE MAIO DE 2003.",Dispõe sobre o Estatuto de Defesa do Torcedor e dá outras providências.,Este Estatuto estabelece normas de proteção e defesa do torcedor.,https://www.planalto.gov.br/ccivil_03/leis/2003/l10.671.htm,,,,,,,,,r,,,
104,L-13.241,13241,30/12/2015,f(),o,5,1351,"0,370%","(None, 'l', 10833)",,,,"LEI Nº 13.241, DE 30 DE DEZEMBRO DE 2015.","Dispõe sobre a incidência do Imposto sobre Produtos Industrializados - IPI sobre as bebidas classificadas nas posições 22.04, 22.05, 22.06 e 22.08, exceto o código 2208.90.00 Ex 01, da Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI, aprovada pelo Decreto nº 7.660, de 23 de dezembro de 2011; e altera as Leis nº s 13.097, de 19 de janeiro de 2015, e 11.196, de 21 de novembro de 2005.","O Imposto sobre Produtos Industrializados - IPI incidente sobre as bebidas classificadas nas posições 22.04, 22.05, 22.06 e 22.08, exceto o código 2208.90.00 Ex 01, da Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI, será exigido na forma prevista nesta Lei.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13241.htm,,,,,,,,,,,,
105,L-13.173,13173,21/10/2015,f(),o,5,1448,"0,345%","('revoga', 'l', 12035)",,,,"LEI Nº 13.173, DE 21 DE OUTUBRO DE 2015.","Dispõe sobre autorização para a realização de obras e serviços necessários ao fornecimento de energia elétrica temporária para os Jogos Rio 2016; altera as Leis nº s 11.473, de 10 de maio de 2007, que dispõe sobre cooperação federativa no âmbito da segurança pública, 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida e a regularização fundiária de assentamentos em áreas urbanas, 12.035, de 1º de outubro de 2009, que institui o Ato Olímpico, e 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas (RDC); e revoga o art. 5º -A da Lei nº 12.035, de 1º de outubro de 2009.","Os agentes de distribuição responsáveis pelo fornecimento de energia elétrica nas áreas de concessão onde serão realizados os Jogos Rio 2016 são autorizados a executar os procedimentos necessários para garantir o fornecimento temporário de energia elétrica para o evento, em conformidade com os requisitos e prazos pactuados com o Comitê Olímpico Internacional (COI) pelo Comitê Organizador dos Jogos Rio 2016.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13173.htm,,,,,,,,,,,,
106,L-14.193,14193,06/08/2021,f(),o,5,4887,"0,102%","('altera', 'l', 9615)",,,,"LEI Nº 14.193, DE 6 DE AGOSTO DE 2021","Institui a Sociedade Anônima do Futebol e dispõe sobre normas de constituição, governança, controle e transparência, meios de financiamento da atividade futebolística, tratamento dos passivos das entidades de práticas desportivas e regime tributário específico; e altera as Leis nºs 9.615, de 24 de março de 1998, e 10.406, de 10 de janeiro de 2002 (Código Civil","Constitui Sociedade Anônima do Futebol a companhia cuja atividade principal consiste na prática do futebol, feminino e masculino, em competição profissional, sujeita às regras específicas desta Lei e, subsidiariamente, às disposições da Lei nº 6.404, de 15 de dezembro de 1976, e da Lei nº 9.615, de 24 de março de 1998.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14193.htm,,,,,,,,,,,,
