id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r],,
11,L-13.709,13709,14/08/2018,f();f(x),,26,16589,"0,157%","('altera', 'l', 12965);('altera', 'l', 13853)","('incluído', 'l', 13853);('redação\ndada', 'l', 13853);('redação dada', 'l', 13853)","('altera', 'l', 9008)","('revogado', 'l', 14460);('incluído', 'l', 14010);('redação dada', 'l', 14460);('incluído', 'l', 14460)","LEI Nº 13.709, DE 14 DE AGOSTO DE 2018","Dispõe sobre a proteção de dados pessoais e altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet). Lei Geral de Proteção de Dados Pessoais (LGPD). (Redação dada pela Lei nº 13.853, de 2019) Vigência","Esta Lei dispõe sobre o tratamento de dados pessoais, inclusive nos meios digitais, por pessoa natural ou por pessoa jurídica de direito público ou privado, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvimento da personalidade da pessoa natural.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,ontológica,ameaça,indivíduo;propriedade;privacidade,,civil,individualização,reconhece,ambiente;ferramenta,,,,
12,L-14.351,14351,25/05/2022,f(),,38,1974,"1,925%","('altera', 'l', 14172)",,"('altera', 'l', 13424);('altera', 'l', 9612);('altera', 'l', 5768)",,"LEI Nº 14.351, DE 25 DE MAIO DE 2022","Institui o Programa Internet Brasil; e altera as Leis nºs 4.117, de 27 de agosto de 1962 (Código Brasileiro de Telecomunicações), 5.768, de 20 de dezembro de 1971, 9.612, de 19 de fevereiro de 1998, 13.424, de 28 de março de 2017, e 14.172, de 10 de junho de 2021.","Fica instituído o Programa Internet Brasil, no âmbito do Ministério das Comunicações, com a finalidade de promover o acesso gratuito à internet em banda larga móvel aos alunos da educação básica integrantes de famílias inscritas no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico) matriculados na rede pública de ensino, nas escolas das comunidades indígenas e quilombolas e nas escolas especiais sem fins lucrativos que atuam exclusivamente nessa modalidade.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14351.htm,normativa,benefício,inclusão;educação,,administrativo,educação,impõe,ferramenta,,,,
13,L-14.155,14155,27/05/2021,,,10,635,"1,575%",,,"('altera', 'dl', 2848);('altera', 'dl', 3689)",,"LEI Nº 14.155, DE 27 DE MAIO DE 2021","Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar mais graves os crimes de violação de dispositivo informático, furto e estelionato cometidos de forma eletrônica ou pela internet; e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para definir a competência em modalidades de estelionato.","O Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14155.htm,normativa,ameaça,segurança;propriedade,,penal,criminal,reconhece,ambiente;ferramenta,,,,
14,L-13.441,13441,08/05/2017,f(),,7,786,"0,891%","('altera', 'l', 8069)",,,,"LEI Nº 13.441, DE 8 DE MAIO DE 2017.","Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para prever a infiltração de agentes de polícia na internet com o fim de investigar crimes contra a dignidade sexual de criança e de adolescente.","O Capítulo III do Título VI da Parte Especial da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente) , passa a vigorar acrescido da seguinte Seção V-A:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13441.htm,normativa,ameaça;benefício,segurança;controle;privacidade;segurança sexual;ECA,,penal,segurança,reconhece,ferramenta,,,,
15,L-12.894,12894,17/12/2013,,,2,198,"1,010%",,,,,"LEI Nº 12.894, DE 17 DE DEZEMBRO DE 2013.","Acrescenta inciso V ao art. 1º da Lei nº 10.446, de 8 de maio de 2002, para prever a atribuição da Polícia Federal para apurar os crimes de falsificação, corrupção e adulteração de medicamentos, assim como sua venda, inclusive pela internet, quando houver repercussão interestadual ou internacional.","O art. 1º da Lei nº 10.446, de 8 de maio de 2002, passa a vigorar acrescido do seguinte inciso V:",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12894.htm,normativa;ontológica,ameaça,segurança;consumo;saúde,,penal,ciminal,reconhece,ambiente,,,,
16,L-13.688,13688,03/07/2018,f(),,7,307,"2,280%","('altera', 'l', 8906)",,,,"LEI Nº 13.688, DE 3 DE JULHO DE 2018.","Institui o Diário Eletrônico da Ordem dos Advogados do Brasil e altera a Lei nº 8.906, de 4 de julho de 1994 (Estatuto da OAB), para dispor sobre a publicação de atos, notificações e decisões no Diário Eletrônico da Ordem dos Advogados do Brasil.","Fica instituído o Diário Eletrônico da Ordem dos Advogados do Brasil, a ser disponibilizado na internet, para a publicação de atos, notificações e decisões emanados da Ordem dos Advogados do Brasil (OAB).",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13688.htm,ontológica,benefício,transparência,,administrativo,burocrático,reconhece,ferramenta,,,,
17,L-10.764,10764,12/11/2003,f(),o,6,626,"0,958%","('altera', 'l', 8069)",,,,"LEI Nº 10.764, DE 12 DE NOVEMBRO DE 2003.","Altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências.","O parágrafo único do art. 143 da Lei nº 8.069, de 13 julho de 1990, passa a vigorar com a seguinte redação:",https://www.planalto.gov.br/ccivil_03/leis/2003/l10.764.htm,normativa,ameaça,segurança;segurança sexual;ECA,segurança;segurança sexual;ECA,penal,violência;violência sexual;infância,reconhece,ambiente,,r,,
18,L-13.488,13488,06/10/2017,f();f(x),o,22,3730,"0,590%","('revoga', 'l', 13165);('altera', 'l', 9096)","('revogado', 'l', 13877)",,,"LEI Nº 13.488, DE 6 DE OUTUBRO DE 2017.","Altera as Leis nº 9.504, de 30 de setembro de 1997 (Lei das Eleições), 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 (Código Eleitoral), e revoga dispositivos da Lei nº 13.165, de 29 de setembro de 2015 (Minirreforma Eleitoral de 2015), com o fim de promover reforma no ordenamento político-eleitoral.","A Lei nº 9.504, de 30 de setembro de 1997 , passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13488.htm,normativa,neutra,democracia,democracia,eleitoral,político,impõe;reconhece,ferramenta,,,,
19,L-14.309,14309,08/03/2022,f(),,12,767,"1,565%","('altera', 'l', 13019);('altera', 'l', 10406)",,,,"LEI Nº 14.309, DE 8 DE MARÇO DE 2022","Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), e a Lei nº 13.019, de 31 de julho de 2014, para permitir a realização de reuniões e deliberações virtuais pelas organizações da sociedade civil, assim como pelos condomínios edilícios, e para possibilitar a sessão permanente das assembleias condominiais.","Esta Lei altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para permitir a realização de assembleias e reuniões virtuais de condomínios edilícios, bem como para possibilitar a sessão permanente de condôminos, e a Lei nº 13.019, de 31 de julho de 2014, para permitir a realização de reuniões e deliberações virtuais de organizações da sociedade civil.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14309.htm,ontológica,benefício,comunicação;organização comunitária,,civil,político,reconhece,ambiente,,,,
20,L-14.338,14338,11/05/2022,f(),,8,528,"1,515%","('altera', 'l', 11903)",,,,"LEI Nº 14.338, DE 11 DE MAIO DE 2022","Altera a Lei nº 11.903, de 14 de janeiro de 2009, para dispor sobre a bula digital de medicamentos.","A Lei nº 11.903, de 14 de janeiro de 2009, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14338.htm,normativa,benefício,saúde;transparência;consumo,,administrativo,saúde,impõe,ambiente,,,,
