id,lei,nº lei,data,assunto: emenda lei [f()] / é emendado [f(x)],outro assunto [o],assunto,n_palavras,freq_assunto,quais_f,quais_fx,quais_f_o,quais_fx_o,epígrafe,ementa,Artigo 1º,URL,dimensão,benevolência,função social,função social especificamente ligada ao assunto,ramo (dogmático) do direito,ramo (sociológico) do direito,imposição/reconhecimento (pelo jurídico),ferramenta/ambiente,Artigo 1 revogado,efetivamente revogada [r]
137,L-11.903,11903,14/01/2009,f();f(x),,15,2033,"0,738%","(None, 'l', 14338)","('redação dada', 'l', 14338);('incluído', 'l', 14338);('revogado', 'l', 14338)",,"('revogado', 'l', 13410);('incluído', 'l', 13410);('redação dada', 'l', 13410)","LEI Nº 11.903, DE 14 DE JANEIRO DE 2009.","Dispõe sobre o rastreamento da produção e do consumo de medicamentos por meio de tecnologia de captura, armazenamento e transmissão eletrônica de dados.","É criado o Sistema Nacional de Controle de Medicamentos, envolvendo a produção, comercialização, dispensação e a prescrição médica, odontológica e veterinária, assim como os demais tipos de movimentação previstos pelos controles sanitários.",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l11903.htm,normativa,benefício,comercial;saúde,,civil,econômico,impõe,ferramenta,,
229,L-12.249,12249,11/06/2010,f();f(x),,36,40425,"0,089%","('altera', 'l', 9430);('altera', 'l', 11196)","('regidas', 'l', 6404);('redação dada', 'l', 13043)","('altera', 'l', 11948);('altera', 'l', 9933);('altera', 'l', 7940);('altera', 'l', 9469);('altera', 'l', 8387);('altera', 'l', 8248);('altera', 'l', 9126);('altera', 'l', 10865);('altera', 'l', 11488);('altera', 'dl', 9295);('altera', 'l', 12029);('altera', 'l', 9718);('altera', 'l', 5615);('altera', 'l', 12189);('altera', 'l', 11442);(None, 'l', 11775)","('redação dada', 'l', 12810);('revogado', 'l', 187);('redação dada', 'l', 12490);('redação dada', 'l', 13315);('criado', 'l', 20);('definidos', 'l', 11326);('redação dada', 'l', 12678);('incluído', 'l', 13496);('incluído', 'l', 12678);('revogado', 'l', 12678);('incluído', 'l', 12402);('redação dada', 'l', 12788);('incluído', 'l', 12788);('incluído', 'l', 12409);('redação dada', 'l', 12844);('incluído', 'l', 14031);('redação dada', 'l', 14537);('redação dada', 'l', 12838);('definidos', 'l', 9796);('incluído', 'l', 14537);('incluído', 'l', 12838);('redação dada', 'l', 14565);('a', 'l', 12872);('redação dada', 'l', 12599);('incluído', 'l', 14565);('revogado', 'l', 14317);('incluído', 'l', 12599);('instituído', 'l', 93)","LEI Nº 12.249, DE 11 DE JUNHO DE 2010.","Institui o Regime Especial de Incentivos para o Desenvolvimento de Infraestrutura da Indústria Petrolífera nas Regiões Norte, Nordeste e Centro- Oeste - REPENEC; cria o Programa Um Computador por Aluno - PROUCA e institui o Regime Especial de Aquisição de Computadores para Uso Educacional - RECOMPE; prorroga benefícios fiscais; constitui fonte de recursos adicional aos agentes financeiros do Fundo da Marinha Mercante - FMM para financiamentos de projetos aprovados pelo Conselho Diretor do Fundo da Marinha Mercante - CDFMM; institui o Regime Especial para a Indústria Aeronáutica Brasileira **** - **** RETAERO; dispõe sobre a Letra Financeira e o Certificado de Operações Estruturadas; ajusta o Programa Minha Casa Minha Vida - PMCMV; altera as Leis nºˢ 8.248, de 23 de outubro de 1991, 8.387, de 30 de dezembro de 1991, 11.196, de 21 de novembro de 2005, 10.865, de 30 de abril de 2004, 11.484, de 31 de maio de 2007, 11.488, de 15 de junho de 2007, 9.718, de 27 de novembro de 1998, 9.430, de 27 de dezembro de 1996, 11.948, de 16 de junho de 2009, 11.977, de 7 de julho de 2009, 11.326, de 24 de julho de 2006, 11.941, de 27 de maio de 2009, 5.615, de 13 de outubro de 1970, 9.126, de 10 de novembro de 1995, 11.110, de 25 de abril de 2005, 7.940, de 20 de dezembro de 1989, 9.469, de 10 de julho de 1997, 12.029, de 15 de setembro de 2009, 12.189, de 12 de janeiro de 2010, 11.442, de 5 de janeiro de 2007, 11.775, de 17 de setembro de 2008, os Decretos-Leis nºˢ 9.295, de 27 de maio de 1946, 1.040, de 21 de outubro de 1969, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga as Leis nºˢ 7.944, de 20 de dezembro de 1989, 10.829, de 23 de dezembro de 2003, o Decreto-Lei nº 423, de 21 de janeiro de 1969; revoga dispositivos das Leis nºˢ 8.003, de 14 de março de 1990, 8.981, de 20 de janeiro de 1995, 5.025, de 10 de junho de 1966, 6.704, de 26 de outubro de 1979, 9.503, de 23 de setembro de 1997; e dá outras providências.","Fica instituído o Regime Especial de Incentivos para o Desenvolvimento de Infraestrutura da Indústria Petrolífera nas Regiões Norte, Nordeste e Centro-Oeste - REPENEC, nos termos e condições estabelecidos nos arts. 2º a 5º desta Lei. (Vide Decreto nº 7.320, de 2010)",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12249.htm,ontológica,benefício,educação;transparência,,administrativo,educação,reconhece,ferramenta,,
5,L-12.686,12686,18/07/2012,,,9,181,"4,972%",,,,,"LEI Nº 12.686, DE 18 DE JULHO DE 2012.","Normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, nos sítios e portais da rede mundial de computadores - internet mantidos por órgãos e entidades públicos.","Esta Lei normatiza a divulgação de documentos institucionais produzidos em língua estrangeira, em sítios e portais da Rede Mundial de Computadores - internet mantidos por órgãos e entidades públicos.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12686.htm,normativa,benefício,inclusão;nacionalismo,,administrativo,nacional,impõe,ambiente,,
32,L-12.715,12715,17/09/2012,f();f(x),,59,22658,"0,260%","(None, 'l', 10833);('altera', 'l', 12546);('altera', 'l', 8666);('altera', 'l', 9430);('altera', 'l', 11196)","('redação dada', 'l', 12837);('redação dada', 'l', 13043)","('altera', 'l', 9250);('altera', 'dl', 1455);('altera', 'l', 10865);('altera', 'l', 11484);(None, 'l', 12996);('altera', 'dl', 1593);('altera', 'l', 11033)","('redação dada', 'l', 14564);('redação dada', 'l', 14108);('incluído', 'l', 12996);('incluído', 'l', 13097);('redação dada', 'l', 12844);('redação dada', 'l', 13169);('instituído', 'l', 11484);('incluído', 'l', 14108);('redação\ndada', 'l', 13097);('incluído\ndada', 'l', 12996);('incluído', 'l', 12844);('redação dada', 'l', 12996);('incluído dada', 'l', 12996);('redação dada', 'l', 13097)","LEI Nº 12.715, DE 17 DE SETEMBRO DE 2012.","Altera a alíquota das contribuições previdenciárias sobre a folha de salários devidas pelas empresas que especifica; institui o Programa de Incentivo à Inovação Tecnológica e Adensamento da Cadeia Produtiva de Veículos Automotores, o Regime Especial de Tributação do Programa Nacional de Banda Larga para Implantação de Redes de Telecomunicações, o Regime Especial de Incentivo a Computadores para Uso Educacional, o Programa Nacional de Apoio à Atenção Oncológica e o Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência; restabelece o Programa Um Computador por Aluno; altera o Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores, instituído pela Lei nº 11.484, de 31 de maio de 2007; altera as Leis nº s 9.250, de 26 de dezembro de 1995, 11.033, de 21 de dezembro de 2004, 9.430, de 27 de dezembro de 1996, 10.865, de 30 de abril de 2004, 11.774, de 17 de setembro de 2008, 12.546, de 14 de dezembro de 2011, 11.484, de 31 de maio de 2007, 10.637, de 30 de dezembro de 2002, 11.196, de 21 de novembro de 2005, 10.406, de 10 de janeiro de 2002, 9.532, de 10 de dezembro de 1997, 12.431, de 24 de junho de 2011, 12.414, de 9 de junho de 2011, 8.666, de 21 de junho de 1993, 10.925, de 23 de julho de 2004, os Decretos-Leis nº s 1.455, de 7 de abril de 1976, 1.593, de 21 de dezembro de 1977, e a Medida Provisória nº 2.199-14, de 24 de agosto de 2001; e dá outras providências.","Fica instituído o Programa Nacional de Apoio à Atenção Oncológica - PRONON, com a finalidade de captar e canalizar recursos para a prevenção e o combate ao câncer. (Regulamento)",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12715.htm,ontológica;normativa,benefício,saúde;transparência;comercial,,tributário,econômico;saúde,impõe,ferramenta,,
34,L-12.735,12735,30/11/2012,,,6,321,"1,869%",,,"('altera', 'dl', 2848);('altera', 'l', 7716)",,"LEI Nº 12.735, DE 30 DE NOVEMBRO DE 2012.","Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, o Decreto-Lei nº 1.001, de 21 de outubro de 1969 - Código Penal Militar, e a Lei nº 7.716, de 5 de janeiro de 1989, para tipificar condutas realizadas mediante uso de sistema eletrônico, digital ou similares, que sejam praticadas contra sistemas informatizados e similares; e dá outras providências.","Esta Lei altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, o Decreto-Lei nº 1.001, de 21 de outubro de 1969 - Código Penal Militar, e a Lei nº 7.716, de 5 de janeiro de 1989, para tipificar condutas realizadas mediante uso de sistema eletrônico, digital ou similares, que sejam praticadas contra sistemas informatizados e similares; e dá outras providências.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12735.htm,normativa,ameaça;benefício,segurança;controle;privacidade;segurança sexual;ECA,,civil,segurança,reconhece,ferramenta,,
36,L-12.737,12737,30/11/2012,,,3,580,"0,517%",,,"('altera', 'dl', 2848)",,"LEI Nº 12.737, DE 30 DE NOVEMBRO DE 2012.","Dispõe sobre a tipificação criminal de delitos informáticos; altera o Decreto- Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências.",Esta Lei dispõe sobre a tipificação criminal de delitos informáticos e dá outras providências.,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12737.htm,normativa,ameaça,segurança;propriedade,,penal,criminal,reconhece,ferramenta,,1/2r
43,L-12.837,12837,09/07/2013,f(),,2,489,"0,409%","('altera', 'l', 12715)",,,,"LEI Nº 12.837, DE 9 DE JULHO DE 2013.","Altera as Leis nºs 6.704, de 26 de outubro de 1979, para dispor sobre o Seguro de Crédito à Exportação nas operações relativas a exportações do setor aeronáutico, 11.494, de 20 de junho de 2007, para dispor sobre o cômputo no Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB das matrículas em pré-escolas conveniadas com o poder público, 12.715, de 17 de setembro de 2012, para estender a data- limite para adesão ao Regime Especial de Tributação do Programa Nacional de Banda Larga para Implantação de Redes de Telecomunicações - REPNBL-Redes, 11.096, de 13 de janeiro de 2005, e 12.513, de 26 de outubro de 2011.","O art. 1º da Lei nº 6.704, de 26 de outubro de 1979, passa a vigorar com as seguintes alterações:",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12837.htm,normativa,?,comercial;educação,?,comercial;administrativo,econômico;educação,?,?,,
209,L-12.873,12873,24/10/2013,f();f(x),,15,11433,"0,131%","('altera', 'l', 12546);('altera', 'l', 8666);('altera', 'l', 8212);('altera', 'l', 9430);('altera', 'l', 12512);('altera', 'l', 10438)","('aprovada', 'l', 5452);('aprovada', 'dl', 5452)","('altera', 'l', 9718);('altera', 'dl', 3365);('altera', 'l', 8213);('altera', 'dl', 167);('altera', 'l', 11491);('altera', 'l', 11101)","('incluído', 'l', 12996);('instituído', 'l', 12462);('redação dada', 'l', 13702);('redação dada', 'l', 12996)","LEI Nº 12.873, DE 24 DE OUTUBRO DE 2013.","Autoriza a Companhia Nacional de Abastecimento a utilizar o Regime Diferenciado de Contratações Públicas - RDC, instituído pela Lei nº 12.462, de 4 de agosto de 2011, para a contratação de todas as ações relacionadas à reforma, modernização, ampliação ou construção de unidades armazenadoras próprias destinadas às atividades de guarda e conservação de produtos agropecuários em ambiente natural; altera as Leis nºs 8.212, de 24 de julho de 1991, e 8.213, de 24 de julho de 1991, o Decreto-Lei nº 5.452, de 1º de maio de 1942 - Consolidação das Leis do Trabalho, as Leis nºs 11.491, de 20 de junho de 2007, e 12.512, de 14 de outubro de 2011; dispõe sobre os contratos de financiamento do Fundo de Terras e da Reforma Agrária, de que trata a Lei Complementar nº 93, de 4 de fevereiro de 1998; autoriza a inclusão de despesas acessórias relativas à aquisição de imóvel rural nos financiamentos de que trata a Lei Complementar nº 93, de 4 de fevereiro de 1998; institui o Programa Nacional de Apoio à Captação de Água de Chuva e Outras Tecnologias Sociais de Acesso à Água - Programa Cisternas; altera a Lei nº 8.666, de 21 de junho de 1993, o Decreto-Lei nº 167, de 14 de fevereiro de 1967, as Leis nºs 10.406, de 10 de janeiro de 2002 - Código Civil, 9.718, de 27 de novembro de 1998, e 12.546, de 14 de setembro de 2011; autoriza a União a conceder subvenção econômica, referente à safra 2011/2012, para produtores independentes de cana- de-açúcar que desenvolvem suas atividades no Estado do Rio de Janeiro; altera a Lei nº 11.101, de 9 de fevereiro de 2005; institui o Programa de Fortalecimento das Entidades Privadas Filantrópicas e das Entidades sem Fins Lucrativos que Atuam na Área da Saúde e que Participam de Forma Complementar do Sistema Único de Saúde - PROSUS; dispõe sobre a utilização pelos Estados, Distrito Federal e Municípios dos registros de preços realizados pelo Ministério da Saúde; autoriza a União, por intermédio do Ministério do Planejamento, Orçamento e Gestão, a conceder o uso de bens públicos imobiliários dominicais, mediante emissão de Certificado de Direito de Uso de Bem Público Imobiliário - CEDUPI; altera o Decreto-Lei nº 3.365, de 21 de junho de 1941; dispõe sobre as dívidas originárias de perdas constatadas nas armazenagens de produtos vinculados à Política de Garantia de Preços Mínimos - PGPM e Estoques Reguladores do Governo Federal, depositados em armazéns de terceiros, anteriores a 31 de dezembro de 2011; altera a Lei nº 10.438, de 26 de abril de 2002; autoriza o Poder Executivo a declarar estado de emergência fitossanitária ou zoossanitária, quando for constatada situação epidemiológica que indique risco iminente de introdução de doença exótica ou praga quarentenária ausente no País, ou haja risco de surto ou epidemia de doença ou praga já existente; altera a Lei nº 9.430, de 27 de dezembro de 1996; dispõe sobre o repasse pelas entidades privadas filantrópicas e entidades sem fins lucrativos às suas mantenedoras de recursos financeiros recebidos dos entes públicos; altera a Medida Provisória nº 2.158-35, de 24 de agosto de 2001, as Leis nºs 10.848, de 15 de março de 2004, 12.350, de 20 de dezembro de 2010, 12.096, de 24 de novembro de 2009, 5.869, de 11 de janeiro de 1973 - Código de Processo Civil, 12.087, de 11 de novembro de 2009, e 10.260, de 12 de julho de 2001; e dá outras providências.","Fica a Companhia Nacional de Abastecimento - CONAB autorizada a utilizar o Regime Diferenciado de Contratações Públicas - RDC, instituído pela Lei nº 12.462, de 4 de agosto de 2011, para a contratação de todas as ações relacionadas à reforma, modernização, ampliação ou construção de unidades armazenadoras próprias destinadas às atividades de guarda e conservação de produtos agropecuários em ambiente natural.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12873.htm,normativa,benefício,fiscal;burocrático,,administrativo;orçamentário,econômico,reconhece,ambiente,,
15,L-12.894,12894,17/12/2013,,,2,198,"1,010%",,,,,"LEI Nº 12.894, DE 17 DE DEZEMBRO DE 2013.","Acrescenta inciso V ao art. 1º da Lei nº 10.446, de 8 de maio de 2002, para prever a atribuição da Polícia Federal para apurar os crimes de falsificação, corrupção e adulteração de medicamentos, assim como sua venda, inclusive pela internet, quando houver repercussão interestadual ou internacional.","O art. 1º da Lei nº 10.446, de 8 de maio de 2002, passa a vigorar acrescido do seguinte inciso V:",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12894.htm,normativa;ontológica,ameaça,segurança;consumo;saúde,,penal,ciminal,reconhece,ambiente,,
2,L-12.965,12965,23/04/2014,f(x),,128,6698,"1,911%",,"('redação dada', 'l', 13709)",,,"LEI Nº 12.965, DE 23 DE ABRIL DE 2014","Estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil.","Esta Lei estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil e determina as diretrizes para atuação da União, dos Estados, do Distrito Federal e dos Municípios em relação à matéria.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,ontológica,benefício,valoração;inclusão;consumo,,civil,comunicação,reconhece,ferramenta;ambiente,,
